plantID,center_spike,base_branches,mid_branches,do_now,exhausted,poor,observer,datetime,tassel
11N0192:0025409,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N1024:0016104,0,0,0,0,1,0,toni,01/27/2012 12:00:00,
11N1024:0016109,0,0,0,0,1,0,toni,01/27/2012 12:00:00,
11N1354:0016205,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N1372:0027413,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N1932:0027601,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N1932:0027607,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N1981:0027301,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3227:0014308,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3227:0014309,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3227:0014310,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3295:0017906,0,0,0,0,1,0,toni,01/27/2012 12:00:00,
11N3316:0020302,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3316:0020303,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3316:0020306,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3338:0000703,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3338:0000704,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3338:0000709,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3456:0018102,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3456:0018106,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3468:0020607,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3468:0020608,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3469:0020704,0,0,0,0,1,0,toni,01/27/2012 12:00:00,
11N3478:0022303,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3479:0022407,0,0,0,0,1,0,toni,01/27/2012 12:00:00,
11N3480:0022608,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3491:0024111,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3495:0025109,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3496:0025201,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3496:0025203,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
11N3496:0025211,0,0,0,0,1,0,toni,01/26/2012 12:00:00,
