901,901,ee,,v00114,derek,01/16/2014 13:05:36,
903,903,he,,v00114,derek,01/16/2014 13:05:36,
1001,1001,xe,,v00114,derek,01/16/2014 13:05:36,
1102,1102,he,,v00114,derek,01/16/2014 13:05:36,
1105,1105,he,,v00114,derek,01/16/2014 13:05:36,
1203,1203,qe,,v00114,derek,01/16/2014 13:05:36,
1204,1204,qe,,v00114,derek,01/16/2014 13:05:36,
1207,1207,ee,,v00114,derek,01/16/2014 13:05:36,
1402,1402,we,,v00114,derek,01/16/2014 13:05:36,
1403,1403,we,,v00114,derek,01/16/2014 13:05:36,
1407,1407,we,,v00114,derek,01/16/2014 13:05:36,
1501,1501,he,,v00114,derek,01/16/2014 13:05:36,
1502,1502,he,,v00114,derek,01/16/2014 13:05:36,
1505,1505,qe,,v00114,derek,01/16/2014 13:05:36,
1504,1504,we,,v00114,derek,01/16/2014 13:05:36,
1607,1607,we,,v00114,derek,01/16/2014 13:05:36,
1609,1609,tqe,,v00114,derek,01/16/2014 13:05:36,
1701,1701,xe,,v00115,derek,01/16/2014 13:05:36,
1706,1706,he,,v00115,derek,01/16/2014 13:05:36,
1708,1708,he,,v00115,derek,01/16/2014 13:05:36,
1802,1802,we,,v00115,derek,01/16/2014 13:05:36,
1803,1803,we,,v00115,derek,01/16/2014 13:05:36,
1808,1808,he,,v00115,derek,01/16/2014 13:05:36,
1902,1902,we,,v00115,derek,01/16/2014 13:05:36,
1907,1907,we,,v00115,derek,01/16/2014 13:05:36,
1908,1908,we,,v00115,derek,01/16/2014 13:05:36,
2002,2002,we,,v00115,derek,01/16/2014 13:05:36,
2006,2006,we,,v00115,derek,01/16/2014 13:05:36,
2101,2101,we,,v00115,derek,01/16/2014 13:05:36,
2104,2104,we,,v00115,derek,01/16/2014 13:05:36,
2112,2112,we,,v00115,derek,01/16/2014 13:05:36,
2202,2202,ee,,v00115,derek,01/16/2014 13:05:36,
2203,2203,we,,v00115,derek,01/16/2014 13:05:36,
2307,2307,we,,v00115,derek,01/16/2014 13:05:36,
2311,2311,he,,v00115,derek,01/16/2014 13:05:36,
2314,2314,we,,v00115,derek,01/16/2014 13:05:36,
2401,2401,we,,v00115,derek,01/16/2014 13:05:36,
2402,2402,tqe,,v00115,derek,01/16/2014 13:05:36,
2407,2407,we,,v00115,derek,01/16/2014 13:05:36,
2501,2501,tqe,,v00115,derek,01/16/2014 13:05:36,
2502,2502,he,,v00115,derek,01/16/2014 13:05:36,
2504,2504,he,,v00115,derek,01/16/2014 13:05:36,
2608,2608,we,,v00115,derek,01/16/2014 13:05:36,
2710,2710,he,,v00116,derek,01/16/2014 13:05:36,
2712,2712,tqe,,v00116,derek,01/16/2014 13:05:36,
2713,2713,tqe,,v00116,derek,01/16/2014 13:05:36,
2804,2804,ee,,v00116,derek,01/16/2014 13:05:36,
2805,2805,he,,v00116,derek,01/16/2014 13:05:36,
2901,2901,he,,v00116,derek,01/16/2014 13:05:36,
2902,2902,ee,,v00116,derek,01/16/2014 13:05:36,
2907,2907,ee,,v00116,derek,01/16/2014 13:05:36,
3003,3003,ee,,v00116,derek,01/16/2014 13:05:36,
3009,3009,ee,,v00116,derek,01/16/2014 13:05:36,
3013,3013,xe,,v00116,derek,01/16/2014 13:05:36,
3103,3103,xe,,v00116,derek,01/16/2014 13:05:36,
3106,3106,xe,,v00116,derek,01/16/2014 13:05:36,
3205,3205,ee,,v00116,derek,01/16/2014 13:05:36,
3203,3203,xe,,v00116,derek,01/16/2014 13:05:36,
3210,3210,xe,,v00116,derek,01/16/2014 13:05:36,
3304,3304,ee,,v00116,derek,01/16/2014 13:05:36,
3305,3305,ee,,v00116,derek,01/16/2014 13:05:36,
3307,3307,ee,,v00116,derek,01/16/2014 13:05:36,
3408,3408,ee,,v00116,derek,01/16/2014 13:05:36,
3507,3507,ee,,v00116,derek,01/16/2014 13:05:36,
3601,3601,qe,,v00116,derek,01/16/2014 13:05:36,
3701,3701,qe,,v00116,derek,01/16/2014 13:05:36,
4007,4007,ee,,v00116,derek,01/16/2014 13:05:36,
4103,4103,he,,v00117,derek,01/16/2014 13:05:36,
4107,4107,we,,v00117,derek,01/16/2014 13:05:36,
4302,4302,ee,,v00117,derek,01/16/2014 13:05:36,
4303,4303,tqe,,v00117,derek,01/16/2014 13:05:36,
4504,4504,we,,v00117,derek,01/16/2014 13:05:36,
4608,4608,ee,,v00117,derek,01/16/2014 13:05:36,
4610,4610,xe,,v00117,derek,01/16/2014 13:05:36,
4703,4703,we,,v00117,derek,01/16/2014 13:05:36,
5001,5001,qe,,v00117,derek,01/16/2014 13:05:36,
5003,5003,he,,v00117,derek,01/16/2014 13:05:36,
