plantID,datetime,kicked down for light,dead,sacrificed,too slow to cross,observer,plant_fate
17R4522:0019421,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019504,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019424,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019423,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019427,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019404,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019403,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019415,07/30/2017 12:00:00,1,0,0,0,toni,
17R4522:0019410,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019514,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019516,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019519,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019518,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019522,07/30/2017 12:00:00,1,0,0,0,toni,
17R4567:0019521,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019604,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019607,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019611,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019610,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019616,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019623,07/30/2017 12:00:00,1,0,0,0,toni,
17R4524:0019622,07/30/2017 12:00:00,1,0,0,0,toni,
